Livestock,Area,Year,Value,Flags
"Total pigs","Total South Island","As at June 30 2011",191031,
"Total pigs","Total South Island","As at June 30 2012",187362,
"Total pigs","Total South Island","As at June 30 2013",195455,
"Total pigs","Total South Island","As at June 30 2014",188295,
"Total pigs","Total South Island","As at June 30 2015",163043,
"Total pigs","Total South Island","As at June 30 2016",155320,
"Total pigs","Total South Island","As at June 30 2017",186709,
"Piglets weaned","Total South Island","As at June 30 2003",458906,
"Piglets weaned","Total South Island","As at June 30 2004",454146,
"Piglets weaned","Total South Island","As at June 30 2005",462336,
"Piglets weaned","Total South Island","As at June 30 2006",458012,
"Piglets weaned","Total South Island","As at June 30 2007",491389,
"Piglets weaned","Total South Island","As at June 30 2008",492868,
"Piglets weaned","Total South Island","As at June 30 2009",436177,
"Piglets weaned","Total South Island","As at June 30 2010",427102,
"Piglets weaned","Total South Island","As at June 30 2011",456359,
"Piglets weaned","Total South Island","As at June 30 2012",459522,
"Piglets weaned","Total South Island","As at June 30 2013",419429,
"Piglets weaned","Total South Island","As at June 30 2014",413202,
"Piglets weaned","Total South Island","As at June 30 2015",369819,
"Piglets weaned","Total South Island","As at June 30 2016",345317,
"Piglets weaned","Total South Island","As at June 30 2017",421847,
"Total horses","Total South Island","As at June 30 1994",21214,
"Total horses","Total South Island","As at June 30 2002",24437,
"Total horses","Total South Island","As at June 30 2003",24854,
"Total horses","Total South Island","As at June 30 2004",23261,
"Total horses","Total South Island","As at June 30 2007",23152,
"Total horses","Total South Island","As at June 30 2008",19059,
"Total horses","Total South Island","As at June 30 2009",22486,
"Total horses","Total South Island","As at June 30 2010",23003,
"Total horses","Total South Island","As at June 30 2011",18985,
"Total horses","Total South Island","As at June 30 2012",19145,
"Total horses","Total South Island","As at June 30 2013",19015,
"Total horses","Total South Island","As at June 30 2014",15890,
"Total horses","Total South Island","As at June 30 2015",13532,
"Total horses","Total South Island","As at June 30 2016",15807,
"Total horses","Total South Island","As at June 30 2017",13150,
"Total beef cattle","Tasman","As at June 30 1994",64453,
"Total beef cattle","Tasman","As at June 30 2002",49032,
"Total beef cattle","Tasman","As at June 30 2003",56155,
"Total beef cattle","Tasman","As at June 30 2004",46223,
"Total beef cattle","Tasman","As at June 30 2005",45222,
"Total beef cattle","Tasman","As at June 30 2006",45759,
"Total beef cattle","Tasman","As at June 30 2007",51428,
"Total beef cattle","Tasman","As at June 30 2008",49869,
"Total beef cattle","Tasman","As at June 30 2009",59543,
"Total beef cattle","Tasman","As at June 30 2010",49783,
"Total beef cattle","Tasman","As at June 30 2011",46355,
"Total beef cattle","Tasman","As at June 30 2012",40149,
"Total beef cattle","Tasman","As at June 30 2013",42268,
"Total beef cattle","Tasman","As at June 30 2014",38788,
"Total beef cattle","Tasman","As at June 30 2015",41531,
"Total beef cattle","Tasman","As at June 30 2016",36642,
"Total beef cattle","Tasman","As at June 30 2017",39805,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 1994",14506,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2002",12834,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2003",13149,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2004",10266,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2005",11720,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2006",10766,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2007",12020,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2008",12272,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2009",11641,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2010",11895,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2011",11996,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2012",8697,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2013",8843,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2014",8931,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2015",9672,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2016",9130,
"Calves born alive to beef heifers/cows","Tasman","As at June 30 2017",8104,
"Total dairy cattle","Tasman","As at June 30 1994",49092,
"Total dairy cattle","Tasman","As at June 30 2002",67473,
"Total dairy cattle","Tasman","As at June 30 2003",71206,
"Total dairy cattle","Tasman","As at June 30 2004",70848,
"Total dairy cattle","Tasman","As at June 30 2005",67535,
"Total dairy cattle","Tasman","As at June 30 2006",65994,
"Total dairy cattle","Tasman","As at June 30 2007",63849,
"Total dairy cattle","Tasman","As at June 30 2008",70689,
"Total dairy cattle","Tasman","As at June 30 2009",86531,
"Total dairy cattle","Tasman","As at June 30 2010",71088,
"Total dairy cattle","Tasman","As at June 30 2011",72803,
"Total dairy cattle","Tasman","As at June 30 2012",71956,
"Total dairy cattle","Tasman","As at June 30 2013",76283,
"Total dairy cattle","Tasman","As at June 30 2014",77972,
"Total dairy cattle","Tasman","As at June 30 2015",77863,
"Total dairy cattle","Tasman","As at June 30 2016",60980,
"Total dairy cattle","Tasman","As at June 30 2017",66114,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 1994",30409,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2002",43919,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2003",38283,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2004",41040,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2005",45241,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2006",40277,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2007",45988,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2008",40540,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2009",49162,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2010",40594,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2011",42721,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2012",42291,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2013",45058,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2014",35375,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2015",70388,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2016",32343,
"Calves born alive to dairy heifers/cows","Tasman","As at June 30 2017",44159,
"Total sheep","Tasman","As at June 30 1994",424875,
"Total sheep","Tasman","As at June 30 2002",356240,
"Total sheep","Tasman","As at June 30 2003",402925,
"Total sheep","Tasman","As at June 30 2004",339028,
"Total sheep","Tasman","As at June 30 2005",325874,
"Total sheep","Tasman","As at June 30 2006",323542,
"Total sheep","Tasman","As at June 30 2007",348485,
"Total sheep","Tasman","As at June 30 2009",327770,
"Total sheep","Tasman","As at June 30 2010",317299,
"Total sheep","Tasman","As at June 30 2011",249640,
"Total sheep","Tasman","As at June 30 2012",276877,
"Total sheep","Tasman","As at June 30 2013",265858,
"Total sheep","Tasman","As at June 30 2014",242694,
"Total sheep","Tasman","As at June 30 2015",354757,
"Total sheep","Tasman","As at June 30 2016",253149,
"Total sheep","Tasman","As at June 30 2017",261878,
"Total lambs marked and/or tailed","Tasman","As at June 30 1994",301967,
"Total lambs marked and/or tailed","Tasman","As at June 30 2002",259022,
"Total lambs marked and/or tailed","Tasman","As at June 30 2003",301111,
"Total lambs marked and/or tailed","Tasman","As at June 30 2004",258334,
"Total lambs marked and/or tailed","Tasman","As at June 30 2005",272518,
"Total lambs marked and/or tailed","Tasman","As at June 30 2006",275130,
"Total lambs marked and/or tailed","Tasman","As at June 30 2007",298186,
"Total lambs marked and/or tailed","Tasman","As at June 30 2010",270425,
"Total lambs marked and/or tailed","Tasman","As at June 30 2011",207490,
"Total lambs marked and/or tailed","Tasman","As at June 30 2012",219400,
"Total lambs marked and/or tailed","Tasman","As at June 30 2013",220263,
"Total lambs marked and/or tailed","Tasman","As at June 30 2014",177176,
"Total lambs marked and/or tailed","Tasman","As at June 30 2015",321964,
"Total lambs marked and/or tailed","Tasman","As at June 30 2016",218461,
"Total lambs marked and/or tailed","Tasman","As at June 30 2017",227079,
"Total deer","Tasman","As at June 30 1994",35810,
"Total deer","Tasman","As at June 30 2002",32185,
"Total deer","Tasman","As at June 30 2003",33573,
"Total deer","Tasman","As at June 30 2004",31531,
"Total deer","Tasman","As at June 30 2005",31748,
"Total deer","Tasman","As at June 30 2006",25280,
"Total deer","Tasman","As at June 30 2007",20632,
"Total deer","Tasman","As at June 30 2008",19307,
"Total deer","Tasman","As at June 30 2009",13039,
"Total deer","Tasman","As at June 30 2010",15222,
"Total deer","Tasman","As at June 30 2011",13671,
"Total deer","Tasman","As at June 30 2012",15540,
"Total deer","Tasman","As at June 30 2013",14259,
"Total deer","Tasman","As at June 30 2014",14535,
"Total deer","Tasman","As at June 30 2015",12732,
"Total deer","Tasman","As at June 30 2016",15245,
"Total deer","Tasman","As at June 30 2017",10348,
"Fawns weaned","Tasman","As at June 30 1994",10789,
"Fawns weaned","Tasman","As at June 30 2002",12159,
"Fawns weaned","Tasman","As at June 30 2003",13780,
"Fawns weaned","Tasman","As at June 30 2004",13372,
"Fawns weaned","Tasman","As at June 30 2005",13730,
"Fawns weaned","Tasman","As at June 30 2006",11217,
"Fawns weaned","Tasman","As at June 30 2008",8759,
"Fawns weaned","Tasman","As at June 30 2009",4697,
"Fawns weaned","Tasman","As at June 30 2010",6021,
"Fawns weaned","Tasman","As at June 30 2011",7531,
"Fawns weaned","Tasman","As at June 30 2012",6545,
"Fawns weaned","Tasman","As at June 30 2013",5453,
"Fawns weaned","Tasman","As at June 30 2014",6805,
"Fawns weaned","Tasman","As at June 30 2015",4869,
"Fawns weaned","Tasman","As at June 30 2016",,c
"Fawns weaned","Tasman","As at June 30 2017",3916,
"Total pigs","Tasman","As at June 30 1994",3797,
"Total pigs","Tasman","As at June 30 2002",761,
"Total pigs","Tasman","As at June 30 2004",486,
"Total pigs","Tasman","As at June 30 2005",494,
"Total pigs","Tasman","As at June 30 2007",322,
"Total pigs","Tasman","As at June 30 2011",547,
"Total pigs","Tasman","As at June 30 2012",500,
"Total pigs","Tasman","As at June 30 2013",263,
"Total pigs","Tasman","As at June 30 2014",307,
"Total pigs","Tasman","As at June 30 2015",223,
"Total pigs","Tasman","As at June 30 2016",225,
"Total pigs","Tasman","As at June 30 2017",207,
"Piglets weaned","Tasman","As at June 30 2005",901,
"Piglets weaned","Tasman","As at June 30 2007",359,
"Piglets weaned","Tasman","As at June 30 2012",838,
"Piglets weaned","Tasman","As at June 30 2013",,s
"Piglets weaned","Tasman","As at June 30 2014",557,
"Piglets weaned","Tasman","As at June 30 2015",327,
"Piglets weaned","Tasman","As at June 30 2016",359,
"Piglets weaned","Tasman","As at June 30 2017",301,
"Total horses","Tasman","As at June 30 1994",806,
"Total horses","Tasman","As at June 30 2002",763,
"Total horses","Tasman","As at June 30 2003",826,
"Total horses","Tasman","As at June 30 2004",735,
"Total horses","Tasman","As at June 30 2007",656,
"Total horses","Tasman","As at June 30 2008",661,
"Total horses","Tasman","As at June 30 2009",851,
"Total horses","Tasman","As at June 30 2011",868,
"Total horses","Tasman","As at June 30 2012",706,
"Total horses","Tasman","As at June 30 2013",946,
"Total horses","Tasman","As at June 30 2014",710,
"Total horses","Tasman","As at June 30 2015",666,
"Total horses","Tasman","As at June 30 2016",611,
"Total horses","Tasman","As at June 30 2017",457,
"Total beef cattle","Nelson","As at June 30 1994",1891,
"Total beef cattle","Nelson","As at June 30 2002",2642,
"Total beef cattle","Nelson","As at June 30 2004",3605,
"Total beef cattle","Nelson","As at June 30 2005",3665,
"Total beef cattle","Nelson","As at June 30 2007",1298,
"Total beef cattle","Nelson","As at June 30 2008",1522,
"Total beef cattle","Nelson","As at June 30 2010",1471,
"Total beef cattle","Nelson","As at June 30 2012",,c
"Total beef cattle","Nelson","As at June 30 2013",1206,
"Total beef cattle","Nelson","As at June 30 2014",1529,
"Total beef cattle","Nelson","As at June 30 2015",2490,
"Total beef cattle","Nelson","As at June 30 2016",1692,
"Total beef cattle","Nelson","As at June 30 2017",,s
"Calves born alive to beef heifers/cows","Nelson","As at June 30 1994",345,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2002",667,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2004",727,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2005",1079,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2006",598,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2007",430,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2008",437,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2010",522,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2011",507,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2012",283,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2013",,s
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2014",403,
"Calves born alive to beef heifers/cows","Nelson","As at June 30 2015",468,
